date,total_withdrawals_cop,transaction_count,day_of_week,is_weekend,is_holiday,is_payday,is_month_end,days_to_payday,trend,special_event,month,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_std_7
2024-07-29,120935751761,445595,0,0,0,0,0,2,0.0383561643835616,0,7,99708389033.0,97336724335.0,119395927621.0,95823227693.0,115261419478.85715,112842563664.71428,13484697690.38615
2024-07-30,137192902773,506698,1,0,0,0,0,1,0.0397260273972602,0,7,120935751761.0,111394695064.0,125725368308.0,106268544867.0,118632709111.14285,112952551103.28572,10972439907.64503
2024-07-31,168402868101,586538,2,0,0,1,1,0,0.0410958904109589,0,7,137192902773.0,133755383166.0,135820499582.0,121364343045.0,122318167355.28572,113771660707.92857,12378612935.860043
2024-08-01,112404859417,431156,3,0,0,0,0,14,0.0424657534246575,0,8,168402868101.0,119707142034.0,98817448217.0,106506681208.0,127267808060.28572,116098972745.0,21373182124.865757
2024-08-02,125853914750,453683,4,0,0,0,0,13,0.0438356164383561,0,8,112404859417.0,127328966806.0,118485783810.0,96581641439.0,126224624829.28572,117069502116.42857,21973481888.0013
2024-08-03,126723948358,444534,5,1,0,0,0,12,0.0452054794520547,0,8,125853914750.0,117598635914.0,89096726633.0,111184679006.0,126013903107.0,117595797183.57143,21968198480.779655
2024-08-04,96843525676,418325,6,1,0,0,0,11,0.0465753424657534,0,8,126723948358.0,99708389033.0,85624200783.0,94855518302.0,127317519170.42857,120283455878.21428,21654106636.65078
2024-08-05,94406439077,475794,0,0,0,0,0,10,0.047945205479452,0,8,96843525676.0,120935751761.0,97336724335.0,113053846363.0,126908252976.57143,121084836227.71428,22280895127.962685
2024-08-06,115809585818,445263,1,0,0,0,0,9,0.0493150684931506,0,8,94406439077.0,137192902773.0,111394695064.0,90670716980.0,123118351164.57143,120875530137.85715,25491120584.7572
2024-08-07,76175699198,326410,2,0,1,0,0,8,0.0506849315068493,0,8,115809585818.0,168402868101.0,133755383166.0,72411805932.0,120063591599.57143,121190879477.42857,24795118901.082806
2024-08-08,81459373419,396675,3,0,0,0,0,7,0.0520547945205479,0,8,76175699198.0,112404859417.0,119707142034.0,122273142967.0,106888281756.28572,117078044908.28572,18543316174.196373
2024-08-09,149247277019,486655,4,0,0,0,0,6,0.0534246575342465,0,8,81459373419.0,125853914750.0,127328966806.0,139545738627.0,102467498042.28572,114346061435.78572,20585273449.867382
2024-08-10,164770076332,514457,5,1,0,0,0,5,0.0547945205479452,0,8,149247277019.0,126723948358.0,117598635914.0,109855697662.0,105809406937.85715,115911655022.42857,26159018990.4431
2024-08-11,108280392247,417926,6,1,0,0,0,4,0.0561643835616438,0,8,164770076332.0,96843525676.0,99708389033.0,73892485744.0,111244568077.0,119281043623.71428,34004708751.35182
2024-08-12,106370138148,408187,0,0,0,0,0,3,0.0575342465753424,0,8,108280392247.0,94406439077.0,120935751761.0,119395927621.0,112878406158.57143,119893329567.57143,33467973824.647606
2024-08-13,138379722802,461706,1,0,0,0,0,2,0.0589041095890411,0,8,106370138148.0,115809585818.0,137192902773.0,125725368308.0,114587506025.85715,118852928595.21428,32663252694.998756
2024-08-14,112462755571,448382,2,0,0,0,0,1,0.0602739726027397,0,8,138379722802.0,76175699198.0,168402868101.0,135820499582.0,117811811309.28572,118937701454.42857,33894767412.98833
2024-08-15,115884522753,465566,3,0,0,1,0,0,0.0616438356164383,0,8,112462755571.0,81459373419.0,112404859417.0,98817448217.0,122995676505.42857,114941979130.85715,28867718143.365376
2024-08-16,119523650623,538288,4,0,0,0,0,15,0.0630136986301369,0,8,115884522753.0,149247277019.0,125853914750.0,118485783810.0,127913554981.71428,115190526512.0,22934966890.02458
2024-08-17,137630502311,494507,5,1,0,0,0,14,0.0643835616438356,0,8,119523650623.0,164770076332.0,126723948358.0,89096726633.0,123667322639.42857,114738364788.64285,20996529923.341427
2024-08-18,95514288545,425031,6,1,0,0,0,13,0.0657534246575342,0,8,137630502311.0,108280392247.0,96843525676.0,85624200783.0,119790240636.42857,115517404356.71428,13199982855.753496
2024-08-19,75061297088,351315,0,0,1,0,0,12,0.0671232876712328,0,8,95514288545.0,106370138148.0,94406439077.0,97336724335.0,117966511536.14285,115422458847.35715,15700321703.350636
2024-08-20,119759135139,466478,1,0,0,0,0,11,0.0684931506849315,0,8,75061297088.0,138379722802.0,115809585818.0,111394695064.0,113493819956.14285,114040662991.0,22529045588.70428
2024-08-21,117122507163,471413,2,0,0,0,0,10,0.0698630136986301,0,8,119759135139.0,112462755571.0,76175699198.0,133755383166.0,110833736004.28572,114322773656.78572,20065563611.56305
2024-08-22,111316827705,376226,3,0,0,0,0,9,0.0712328767123287,0,8,117122507163.0,115884522753.0,81459373419.0,119707142034.0,111499414803.14285,117247545654.28572,20205420470.72725
2024-08-23,127905321279,451245,4,0,0,0,0,8,0.0726027397260273,0,8,111316827705.0,119523650623.0,149247277019.0,127328966806.0,110846886939.14285,119380220960.42857,20113750339.907337
2024-08-24,124346210165,466686,5,1,0,0,0,7,0.073972602739726,0,8,127905321279.0,137630502311.0,164770076332.0,117598635914.0,112044268461.42857,117855795550.42857,20948530628.45965
2024-08-25,87338317347,379521,6,1,0,0,0,6,0.0753424657534246,0,8,124346210165.0,95514288545.0,108280392247.0,99708389033.0,110146512440.57143,114968376538.5,18728399444.957428
2024-08-26,109117555879,427932,0,0,0,0,0,5,0.0767123287671232,0,8,87338317347.0,75061297088.0,106370138148.0,120935751761.0,108978516555.14285,113472514045.64285,20004499332.220768
2024-08-27,130893259407,518547,1,0,0,0,0,4,0.0780821917808219,0,8,109117555879.0,119759135139.0,138379722802.0,137192902773.0,113843696382.42857,113668758169.28572,13447624904.826
2024-08-28,90391652737,413485,2,0,0,0,0,3,0.0794520547945205,0,8,130893259407.0,117122507163.0,112462755571.0,168402868101.0,115434285563.57143,113134010783.92857,14849338141.980629
2024-08-29,113265942443,473238,3,0,0,0,0,2,0.0808219178082191,0,8,90391652737.0,111316827705.0,115884522753.0,112404859417.0,111615592074.14285,111557503438.64285,17536739940.68619
2024-08-30,100840577936,431997,4,0,0,0,0,1,0.0821917808219178,0,8,113265942443.0,127905321279.0,119523650623.0,125853914750.0,111894037036.71428,111370461987.92857,17546676615.506603
2024-08-31,120537325344,532144,5,1,0,1,1,0,0.0835616438356164,0,8,100840577936.0,124346210165.0,137630502311.0,126723948358.0,108027645130.57143,110035956796.0,16373199605.329048
2024-09-01,103457153854,435541,6,1,0,0,0,14,0.084931506849315,0,9,120537325344.0,87338317347.0,95514288545.0,96843525676.0,107483518727.57143,108815015584.07143,15793532491.487158
2024-09-02,129725949443,487750,0,0,0,0,0,13,0.0863013698630137,0,9,103457153854.0,109117555879.0,75061297088.0,94406439077.0,109786209657.14285,109382363106.14285,13353400242.194267
2024-09-03,100507229987,493722,1,0,0,0,0,12,0.0876712328767123,0,9,129725949443.0,130893259407.0,119759135139.0,115809585818.0,112730265880.57143,113286981131.5,15309875046.818174
2024-09-04,120934422785,487770,2,0,0,0,0,11,0.0890410958904109,0,9,100507229987.0,90391652737.0,117122507163.0,76175699198.0,108389404534.85715,111911845049.21428,13502841526.573502
2024-09-05,116997585900,428069,3,0,0,0,0,10,0.0904109589041095,0,9,120934422785.0,113265942443.0,111316827705.0,81459373419.0,112752657398.85715,112184124736.5,11504730621.091383
2024-09-06,131531202287,454457,4,0,0,0,0,9,0.0917808219178082,0,9,116997585900.0,100840577936.0,127905321279.0,149247277019.0,113285749321.28572,112589893179.0,11618373433.504871
2024-09-07,160608170999,535766,5,1,0,0,0,8,0.0931506849315068,0,9,131531202287.0,120537325344.0,124346210165.0,164770076332.0,117670124228.57143,112848884679.57143,11925984706.120592
2024-09-08,90960192335,403899,6,1,0,0,0,7,0.0945205479452054,0,9,160608170999.0,103457153854.0,87338317347.0,108280392247.0,123394530750.71428,115439024739.14285,20246184312.406742
2024-09-09,90637689063,396425,0,0,0,0,0,6,0.0958904109589041,0,9,90960192335.0,129725949443.0,109117555879.0,106370138148.0,121609250533.71428,115697730095.42857,22699576383.86904
2024-09-10,94580082509,418895,1,0,0,0,0,5,0.0972602739726027,0,9,90637689063.0,100507229987.0,130893259407.0,138379722802.0,116025213336.57143,114377739608.57143,25055641835.919704
2024-09-11,110178391853,419799,2,0,0,0,0,4,0.0986301369863013,0,9,94580082509.0,120934422785.0,90391652737.0,112462755571.0,115178477982.57143,111783941258.71428,25757776270.851433
2024-09-12,118663999919,464155,3,0,0,0,0,3,0.1,0,9,110178391853.0,116997585900.0,113265942443.0,115884522753.0,113641902135.14285,113197279767.0,25677878721.78971
2024-09-13,143354678259,482807,4,0,0,0,0,2,0.1013698630136986,0,9,118663999919.0,131531202287.0,100840577936.0,119523650623.0,113879961280.71428,113582855301.0,25721861264.395996
2024-09-14,160711341436,531063,5,1,0,0,0,1,0.1027397260273972,0,9,143354678259.0,160608170999.0,120537325344.0,137630502311.0,115569029276.71428,116619576752.64285,27407136717.928333
2024-09-15,93040531121,421097,6,1,0,1,0,0,0.1041095890410958,0,9,160711341436.0,90960192335.0,103457153854.0,95514288545.0,115583767910.57143,119489149330.64285,27435407165.031143
2024-09-16,106913645352,493167,0,0,0,0,0,14,0.1054794520547945,0,9,93040531121.0,90637689063.0,129725949443.0,75061297088.0,115880959165.71428,118745104849.71428,27133829408.434433
2024-09-17,123830614189,495344,1,0,0,0,0,13,0.1068493150684931,0,9,106913645352.0,94580082509.0,100507229987.0,119759135139.0,118206095778.42857,117115654557.5,25241547759.849827
2024-09-18,115850190018,447283,2,0,0,0,0,12,0.1082191780821917,0,9,123830614189.0,110178391853.0,120934422785.0,117122507163.0,122384743161.28572,118781610571.92857,23000121182.899994
2024-09-19,111118592780,464987,3,0,0,0,0,11,0.1095890410958904,0,9,115850190018.0,118663999919.0,116997585900.0,111316827705.0,123195000042.0,118418451088.57143,22594775227.91657
