date,total_withdrawals_cop,transaction_count,day_of_week,is_weekend,is_holiday,is_payday,is_month_end,days_to_payday,trend,special_event
2024-07-01,95823227693,363049,0,0,1,0,0,14,0.0,0
2024-07-02,106268544867,413040,1,0,0,0,0,13,0.0013698630136986301,0
2024-07-03,121364343045,458933,2,0,0,0,0,12,0.0027397260273972603,0
2024-07-04,106506681208,452641,3,0,0,0,0,11,0.00410958904109589,0
2024-07-05,96581641439,369143,4,0,0,0,0,10,0.005479452054794521,0
2024-07-06,111184679006,414608,5,1,0,0,0,9,0.00684931506849315,0
2024-07-07,94855518302,392541,6,1,0,0,0,8,0.00821917808219178,0
2024-07-08,113053846363,410854,0,0,0,0,0,7,0.009589041095890411,0
2024-07-09,90670716980,439817,1,0,0,0,0,6,0.010958904109589041,0
2024-07-10,72411805932,398992,2,0,0,0,0,5,0.012328767123287671,0
2024-07-11,122273142967,452726,3,0,0,0,0,4,0.0136986301369863,0
2024-07-12,139545738627,481646,4,0,0,0,0,3,0.015068493150684932,0
2024-07-13,109855697662,474939,5,1,0,0,0,2,0.01643835616438356,0
2024-07-14,73892485744,429708,6,1,0,0,0,1,0.01780821917808219,0
2024-07-15,119395927621,469595,0,0,0,1,0,0,0.019178082191780823,0
2024-07-16,125725368308,441252,1,0,0,0,0,15,0.02054794520547945,0
2024-07-17,135820499582,448876,2,0,0,0,0,14,0.021917808219178082,0
2024-07-18,98817448217,385345,3,0,0,0,0,13,0.023287671232876714,0
2024-07-19,118485783810,488293,4,0,0,0,0,12,0.024657534246575342,0
2024-07-20,89096726633,377998,5,1,1,0,0,11,0.026027397260273973,0
2024-07-21,85624200783,385667,6,1,0,0,0,10,0.0273972602739726,0
2024-07-22,97336724335,401184,0,0,0,0,0,9,0.028767123287671233,0
2024-07-23,111394695064,494135,1,0,0,0,0,8,0.030136986301369864,0
2024-07-24,133755383166,430681,2,0,0,0,0,7,0.031506849315068496,0
2024-07-25,119707142034,407628,3,0,0,0,0,6,0.03287671232876712,0
2024-07-26,127328966806,440494,4,0,0,0,0,5,0.03424657534246575,0
2024-07-27,117598635914,500000,5,1,0,0,0,4,0.03561643835616438,0
2024-07-28,99708389033,407234,6,1,0,0,0,3,0.036986301369863014,0
2024-07-29,120935751761,445595,0,0,0,0,0,2,0.038356164383561646,0
2024-07-30,137192902773,506698,1,0,0,0,0,1,0.03972602739726028,0
2024-07-31,168402868101,586538,2,0,0,1,1,0,0.0410958904109589,0
2024-08-01,112404859417,431156,3,0,0,0,0,14,0.04246575342465753,0
2024-08-02,125853914750,453683,4,0,0,0,0,13,0.043835616438356165,0
2024-08-03,126723948358,444534,5,1,0,0,0,12,0.045205479452054796,0
2024-08-04,96843525676,418325,6,1,0,0,0,11,0.04657534246575343,0
2024-08-05,94406439077,475794,0,0,0,0,0,10,0.04794520547945205,0
2024-08-06,115809585818,445263,1,0,0,0,0,9,0.049315068493150684,0
2024-08-07,76175699198,326410,2,0,1,0,0,8,0.050684931506849315,0
2024-08-08,81459373419,396675,3,0,0,0,0,7,0.052054794520547946,0
2024-08-09,149247277019,486655,4,0,0,0,0,6,0.05342465753424658,0
2024-08-10,164770076332,514457,5,1,0,0,0,5,0.0547945205479452,0
2024-08-11,108280392247,417926,6,1,0,0,0,4,0.056164383561643834,0
2024-08-12,106370138148,408187,0,0,0,0,0,3,0.057534246575342465,0
2024-08-13,138379722802,461706,1,0,0,0,0,2,0.0589041095890411,0
2024-08-14,112462755571,448382,2,0,0,0,0,1,0.06027397260273973,0
2024-08-15,115884522753,465566,3,0,0,1,0,0,0.06164383561643835,0
2024-08-16,119523650623,538288,4,0,0,0,0,15,0.06301369863013699,0
2024-08-17,137630502311,494507,5,1,0,0,0,14,0.06438356164383562,0
2024-08-18,95514288545,425031,6,1,0,0,0,13,0.06575342465753424,0
2024-08-19,75061297088,351315,0,0,1,0,0,12,0.06712328767123288,0
2024-08-20,119759135139,466478,1,0,0,0,0,11,0.0684931506849315,0
2024-08-21,117122507163,471413,2,0,0,0,0,10,0.06986301369863014,0
2024-08-22,111316827705,376226,3,0,0,0,0,9,0.07123287671232877,0
2024-08-23,127905321279,451245,4,0,0,0,0,8,0.07260273972602739,0
2024-08-24,124346210165,466686,5,1,0,0,0,7,0.07397260273972603,0
2024-08-25,87338317347,379521,6,1,0,0,0,6,0.07534246575342465,0
2024-08-26,109117555879,427932,0,0,0,0,0,5,0.07671232876712329,0
2024-08-27,130893259407,518547,1,0,0,0,0,4,0.07808219178082192,0
2024-08-28,90391652737,413485,2,0,0,0,0,3,0.07945205479452055,0
2024-08-29,113265942443,473238,3,0,0,0,0,2,0.08082191780821918,0
2024-08-30,100840577936,431997,4,0,0,0,0,1,0.0821917808219178,0
2024-08-31,120537325344,532144,5,1,0,1,1,0,0.08356164383561644,0
2024-09-01,103457153854,435541,6,1,0,0,0,14,0.08493150684931507,0
2024-09-02,129725949443,487750,0,0,0,0,0,13,0.0863013698630137,0
2024-09-03,100507229987,493722,1,0,0,0,0,12,0.08767123287671233,0
2024-09-04,120934422785,487770,2,0,0,0,0,11,0.08904109589041095,0
2024-09-05,116997585900,428069,3,0,0,0,0,10,0.09041095890410959,0
2024-09-06,131531202287,454457,4,0,0,0,0,9,0.09178082191780822,0
