date,total_withdrawals_cop,reserve_traditional,reserve_model,idle,shortage,cost_daily
2026-02-10,209906074441,139477815651.90002,139477815651.90002,0.0,70428258789.09998,35214129.39454999
2026-02-11,123512897560,230896681885.1,230896681885.1,107383784325.1,0.0,10738378.432510002
2026-02-12,137057803524,230896681885.1,230896681885.1,93838878361.1,0.0,9383887.836110001
2026-02-13,188139081427,230896681885.1,230896681885.1,42757600458.100006,0.0,4275760.045810001
2026-02-14,122128412001,230896681885.1,230896681885.1,108768269884.1,0.0,10876826.988410002
2026-02-15,117971455068,230896681885.1,230896681885.1,112925226817.1,0.0,11292522.681710001
2026-02-16,175455815345,230896681885.1,230896681885.1,55440866540.100006,0.0,5544086.654010001
2026-02-17,158516794648,230896681885.1,230896681885.1,72379887237.1,0.0,7237988.7237100005
2026-02-18,132847161918,206952989569.7,206952989569.7,74105827651.70001,0.0,7410582.765170001
2026-02-19,144895584270,206952989569.7,206952989569.7,62057405299.70001,0.0,6205740.529970001
2026-02-20,148543817764,206952989569.7,206952989569.7,58409171805.70001,0.0,5840917.180570002
2026-02-21,143346871739,193001396879.50003,193001396879.50003,49654525140.50003,0.0,4965452.514050003
2026-02-22,101261316790,193001396879.50003,193001396879.50003,91740080089.50003,0.0,9174008.008950004
2026-02-23,186723215191,193001396879.50003,193001396879.50003,6278181688.5000305,0.0,627818.168850003
2026-02-24,156745363919,205395536710.1,205395536710.1,48650172791.100006,0.0,4865017.2791100005
2026-02-25,151559700979,205395536710.1,205395536710.1,53835835731.100006,0.0,5383583.573110001
2026-02-26,184935665572,205395536710.1,205395536710.1,20459871138.100006,0.0,2045987.1138100007
2026-02-27,183517721335,205395536710.1,205395536710.1,21877815375.100006,0.0,2187781.5375100006
2026-02-28,198813915743,205395536710.1,205395536710.1,6581620967.100006,0.0,658162.0967100007
2026-03-01,144984510252,218695307317.30002,218695307317.30002,73710797065.30002,0.0,7371079.706530002
2026-03-02,161275471738,218695307317.30002,218695307317.30002,57419835579.30002,0.0,5741983.557930002
2026-03-03,132168839106,218695307317.30002,218695307317.30002,86526468211.30002,0.0,8652646.821130002
2026-03-04,164730792591,218695307317.30002,218695307317.30002,53964514726.30002,0.0,5396451.472630003
2026-03-05,132531425940,218695307317.30002,218695307317.30002,86163881377.30002,0.0,8616388.137730002
2026-03-06,158675303850,218695307317.30002,218695307317.30002,60020003467.30002,0.0,6002000.346730002
2026-03-07,144140817340,218695307317.30002,218695307317.30002,74554489977.30002,0.0,7455448.997730002
2026-03-08,138974750866,181203871850.1,181203871850.1,42229120984.100006,0.0,4222912.098410001
2026-03-09,168157381887,181203871850.1,181203871850.1,13046489963.100006,0.0,1304648.9963100008
2026-03-10,150436452234,184973120075.7,184973120075.7,34536667841.70001,0.0,3453666.7841700013
2026-03-11,161144817608,184973120075.7,184973120075.7,23828302467.700012,0.0,2382830.2467700015
2026-03-12,161376663241,184973120075.7,184973120075.7,23596456834.700012,0.0,2359645.6834700014
2026-03-13,151874461393,184973120075.7,184973120075.7,33098658682.700012,0.0,3309865.8682700014
2026-03-14,190216674842,184973120075.7,184973120075.7,0.0,5243554766.299988,2621777.383149994
2026-03-15,113024023491,209238342326.2,209238342326.2,96214318835.20001,0.0,9621431.883520002
2026-03-16,161863582708,209238342326.2,209238342326.2,47374759618.20001,0.0,4737475.961820002
2026-03-17,207213908040,209238342326.2,209238342326.2,2024434286.2000122,0.0,202443.42862000124
2026-03-18,154727469084,227935298844.00003,227935298844.00003,73207829760.00003,0.0,7320782.9760000035
2026-03-19,133191991654,227935298844.00003,227935298844.00003,94743307190.00003,0.0,9474330.719000004
2026-03-20,172225297522,227935298844.00003,227935298844.00003,55710001322.00003,0.0,5571000.132200004
2026-03-21,153350252535,227935298844.00003,227935298844.00003,74585046309.00003,0.0,7458504.630900003
2026-03-22,93660057339,227935298844.00003,227935298844.00003,134275241505.00003,0.0,13427524.150500003
2026-03-23,133373464865,227935298844.00003,227935298844.00003,94561833979.00003,0.0,9456183.397900004
2026-03-24,220968364738,227935298844.00003,227935298844.00003,6966934106.0000305,0.0,696693.4106000031
2026-03-25,117644853826,243065201211.80002,243065201211.80002,125420347385.80002,0.0,12542034.738580002
2026-03-26,132184342044,243065201211.80002,243065201211.80002,110880859167.80002,0.0,11088085.916780002
2026-03-27,151790180860,243065201211.80002,243065201211.80002,91275020351.80002,0.0,9127502.035180002
2026-03-28,181501536754,243065201211.80002,243065201211.80002,61563664457.80002,0.0,6156366.4457800025
2026-03-29,105052703163,243065201211.80002,243065201211.80002,138012498048.80002,0.0,13801249.804880003
2026-03-30,173710815392,243065201211.80002,243065201211.80002,69354385819.80002,0.0,6935438.581980002
2026-03-31,219683734986,243065201211.80002,243065201211.80002,23381466225.80002,0.0,2338146.622580002
2026-04-01,189327047184,241652108484.6,241652108484.6,52325061300.600006,0.0,5232506.130060001
2026-04-02,85617998204,241652108484.6,241652108484.6,156034110280.6,0.0,15603411.028060002
2026-04-03,153204784576,241652108484.6,241652108484.6,88447323908.6,0.0,8844732.39086
2026-04-04,221772807781,241652108484.6,241652108484.6,19879300703.600006,0.0,1987930.0703600007
2026-04-05,101489278934,243950088559.1,243950088559.1,142460809625.1,0.0,14246080.96251
2026-04-06,147922443023,243950088559.1,243950088559.1,96027645536.1,0.0,9602764.55361
2026-04-07,167373341778,243950088559.1,243950088559.1,76576746781.1,0.0,7657674.678110001
2026-04-08,174100165069,243950088559.1,243950088559.1,69849923490.1,0.0,6984992.349010001
2026-04-09,125483366578,243950088559.1,243950088559.1,118466721981.1,0.0,11846672.198110001
2026-04-10,172370765272,243950088559.1,243950088559.1,71579323287.1,0.0,7157932.328710001
2026-04-11,203021123093,243950088559.1,243950088559.1,40928965466.100006,0.0,4092896.546610001
2026-04-12,165875806053,223323235402.30002,223323235402.30002,57447429349.30002,0.0,5744742.934930002
2026-04-13,98942658382,223323235402.30002,223323235402.30002,124380577020.30002,0.0,12438057.702030003
2026-04-14,179983523017,223323235402.30002,223323235402.30002,43339712385.30002,0.0,4333971.238530002
2026-04-15,144951041328,223323235402.30002,223323235402.30002,78372194074.30002,0.0,7837219.4074300025
2026-04-16,130900356049,223323235402.30002,223323235402.30002,92422879353.30002,0.0,9242287.935330002
2026-04-17,171015982030,223323235402.30002,223323235402.30002,52307253372.30002,0.0,5230725.3372300025
2026-04-18,189808488688,223323235402.30002,223323235402.30002,33514746714.30002,0.0,3351474.671430002
2026-04-19,109709979748,208789337556.80002,208789337556.80002,99079357808.80002,0.0,9907935.780880002
2026-04-20,177101461821,208789337556.80002,208789337556.80002,31687875735.80002,0.0,3168787.573580002
